일자,평균기온(℃),최대기온(℃),최소기온(℃),평균 지표온도(℃),최대 지표온도(℃),최소 지표온도(℃),습도(%),일사량(W/㎡),풍속(㎧)
2019-12-16,8.29 ,14.19 ,-0.41 ,5.34 ,6.67 ,4.11 ,93.10 ,136.90 ,0.19 
2019-12-17,11.93 ,15.91 ,7.51 ,7.08 ,8.29 ,6.00 ,88.90 ,145.50 ,0.27 
2019-12-18,13.19 ,18.00 ,8.22 ,9.15 ,9.94 ,8.26 ,99.30 ,125.30 ,2.78 
2019-12-19,6.66 ,16.56 ,4.72 ,8.37 ,9.53 ,7.16 ,88.90 ,157.70 ,6.69 
2019-12-20,5.47 ,8.42 ,4.18 ,6.58 ,7.17 ,6.03 ,82.00 ,157.90 ,6.58 
2019-12-21,5.67 ,9.03 ,3.51 ,5.38 ,6.03 ,4.74 ,78.88 ,131.90 ,3.31 
2019-12-22,5.50 ,8.69 ,0.67 ,4.66 ,5.30 ,4.08 ,82.20 ,125.80 ,1.09 
2019-12-23,6.50 ,8.83 ,1.21 ,5.25 ,5.90 ,4.79 ,96.80 ,121.20 ,0.32 
2019-12-24,6.71 ,10.52 ,-0.04 ,4.57 ,5.43 ,3.72 ,88.70 ,131.60 ,2.86 
2019-12-25,5.89 ,11.99 ,-0.41 ,5.22 ,6.54 ,4.35 ,84.80 ,149.40 ,1.13 
2019-12-26,8.08 ,13.82 ,-0.21 ,4.99 ,6.56 ,3.86 ,99.40 ,127.90 ,0.06 
2019-12-27,8.33 ,11.12 ,3.78 ,6.80 ,7.29 ,6.18 ,97.50 ,115.60 ,4.11 
2019-12-28,3.91 ,4.86 ,2.90 ,4.89 ,6.18 ,4.38 ,76.86 ,119.70 ,5.55 
2019-12-29,3.83 ,8.09 ,-0.95 ,4.56 ,5.62 ,3.81 ,82.60 ,138.20 ,0.54 
2019-12-30,9.83 ,15.31 ,1.01 ,5.56 ,8.30 ,4.21 ,99.10 ,116.20 ,0.61 
2019-12-31,10.15 ,13.42 ,4.05 ,8.36 ,8.89 ,7.94 ,94.90 ,136.90 ,4.88 
